Date,Place,Item,Quantity,Price,Category
1/9/2023,Arpico Super Store,Prima Kottumee,5,650,Grocery
1/9/2023,BlueCrossLife,X-RAY DENTAL IOPA,1,1800,Medical
1/9/2023,BlueCrossLife,X-RAY DENTAL OPG - HOSPITAL VIEW,1,3100,Medical
1/9/2023,IUS Pharmacy & Grocery,Glemaz - 2mg,7,22,Medical
1/9/2023,IUS Pharmacy & Grocery,Glucophage - 2mg,7,350,Medical
1/9/2023,IUS Pharmacy & Grocery,Jardiance - 10mg,7,1783,Medical
1/9/2023,IUS Pharmacy & Grocery,Arbi - 150mg,7,1832,Medical
1/9/2023,IUS Pharmacy & Grocery,Orslim,7,1171,Medical
1/9/2023,IUS Pharmacy & Grocery,Ginseng,7,680,Medical
1/9/2023,IUS Pharmacy & Grocery,Neurobian,7,58,Medical
1/9/2023,IUS Pharmacy & Grocery,Omez - 20mg,7,10,Medical
1/9/2023,IUS Pharmacy & Grocery,Guion -40mg,7,27,Medical
1/9/2023,Cargills Food City,Mobile Payment,1,5000,Housing and Bills
1/10/2023,Health Care Pharmacy,Kist Mango Nectar 200ML,1,160,Grocery
1/11/2023,Health Care Pharmacy,Ritzbury revello mil 50g,1,250,Grocery
1/12/2023,Health Care Pharmacy,Seven seas livopro,7,1997,Medical
1/13/2023,Health Care Pharmacy,crestor 5mg,7,1428,Medical
1/12/2023,Health Care Pharmacy,live 52 tabs,7,2880,Medical
1/13/2023,Health Care Pharmacy,lantus cartridge,7,2592,Medical
1/14/2023,lalanka,Water bottle,1,2100,Grocery
1/15/2023,pilawoos kollupitiya,chicken palandi kottu,1,2900,Food
1/16/2023,Arpico Super Store,Prima Kottumee,3,300,Grocery
1/17/2023,Arpico Super Store,Rebecalee baby soap,3,470,Grocery
1/18/2023,Cargills Food City,Nature's shaving cream,1,320,Grocery
1/19/2023,Glamours,Keune Tint 03,1,5000,Personal Care
1/20/2023,Glamours,Keune developer 6%,1,2500,Personal Care
1/21/2023,Super Fashion,Ge short cot spandex,1,1090,Personal Care
1/22/2023,Sri Lanka Telecom,Bill Payment,1,3690,Housing and Bills
1/23/2023,Cargills Food City,Panaderia H.B. Bread,1,140,Grocery
1/24/2023,Cargills Food City,Ritzburry Pebbles,1,40,Grocery
1/25/2023,Cargills Food City,Raigam ISI cooking salt,1,105,Grocery
1/26/2023,Cargills Food City,Kotmale milk strawberry,1,180,Grocery
1/27/2023,Cargills Food City,Ritzbury rev: Dark Cho,1,540,Grocery
1/28/2023,Cargills Food City,Marmite,1,675,Grocery
1/29/2023,Cargills Food City,Uswatte Tipi Tip Cheese Flavour,1,200,Grocery
1/30/2023,cargills Food City,Nestomalt  Super Pack,1,840,Grocery
1/2/2022,cargills Food City,Sumeda Joss Sticks 10's,1,70,Grocery
1/3/2022,cargills Food City,Kist vanilla wafers,1,140,Grocery
1/4/2022,cargills Food City,Maliban Vanilla CM Vafers,1,140,Grocery
1/5/2022,cargills Food City,Sam s chicken sausages,1,340,Grocery
1/6/2022,cargills Food City,Kotmale milk strawberry,1,100,Grocery
1/7/2022,cargills Food City,Samaposha,1,165,Grocery
1/8/2022,M H Speed Line,Route,1,400,Transport
1/9/2022,Bus Ticket,Journey,1,67,Transport
1/9/2022,Sri Lanka Telecom,Bill Payment,1,5220,Housing and Bills
1/9/2022,Cargills Food City,kist knuckles drinking water,1,90,Grocery
1/9/2022,Cargills Food City,elephant cream soda,1,150,Grocery
1/9/2022,spring & summer,striped top with split neck XL,1,1990,Personal Care
1/9/2022,Cargills Food City,uswatte Tipi Tip onion stars,1,100,Grocery
1/9/2022,Cargills Food City,Panaderia H.B. Bread,1,175,Grocery
1/9/2022,Cargills Food City,Samaposha,1,165,Grocery
1/9/2022,Cargills Food City,magic vanilla ice cream,1,320,Grocery
1/9/2022,Cargills Food City,Kotmale milk strawberry,1,200,Grocery
1/9/2022,Cargills Food City,kist strawberry wafers,1,65,Grocery
1/9/2022,Cargills Food City,Kist vanilla wafers,1,65,Grocery
1/9/2022,Gayan Text,Material,1,435,Housing and Bills
1/9/2022,Super Sale,Scale Electric SF-400,1,1475,Housing and Bills
1/22/2022,Super Sale,Redi Bag,1,150,Housing and Bills
1/24/2022,Super Fashion,Skinny kit 52/B ptD,1,540,Personal Care
1/24/2022,Super Fashion,B Bin Short,1,120,Personal Care
1/24/2022,Super Fashion,GR Bin skinny,1,340,Personal Care
1/24/2022,Super Fashion,baby pant,1,110,Personal Care
1/24/2022,Super Fashion,GR short,1,220,Personal Care
1/24/2022,Super Fashion,Bin skinny bs006 mix,1,240,Personal Care
1/24/2022,Super Fashion,bin short,1,240,Personal Care
1/24/2022,Super Fashion,slippers,1,320,Personal Care
1/24/2022,Super Fashion,Hankey,1,30,Personal Care
1/24/2022,Super Fashion,Pant PLN,1,2990,Personal Care
2/3/2022,The Fab,Crispy chicken and egg roll,1,180,Food
2/3/2022,The Fab,Nescafe,1,130,Food
2/3/2022,The Fab,Chocolate pyramid gateau slice,1,400,Food
2/4/2022,Lotus Leaf,Yellow rice and curry chicken,1,630,Food
2/5/2022,Nolimit,Lacoste T-shirt,1,3450,Personal Care
2/5/2022,Nolimit,Nolimit Bag,1,1500,Personal Care
2/6/2022,Ceylon Baker,Ice coffe,1,220,Food
2/6/2022,Ceylon Baker,omelette bun,1,130,Food
2/6/2022,Ceylon Baker,devilled chicken bun,1,150,Food
2/7/2022,City Super,Daily faluda flavoured milk,1,118,Food
2/7/2022,City Super,Butterschotch ice cream,1,190,Food
2/8/2022,super center,PVC Table Mat,1,520,Grocery
2/8/2022,super center,Velvet Rubber carpet,1,700,Grocery
2/9/2022,spring & summer,chinese collar top w/buttons 2xl,1,2390,Personal Care
2/10/2022,cargills Food City,Panderia Giant H.B Bun,1,175,Food
2/11/2022,City Super,Gold queen vanilla artificial flavour ,1,190,Grocery
2/11/2022,City Super,sera real coconut 180ml,1,118,Grocery
2/11/2022,City Super,Anchor Newdale s/berry uht 180ml,1,118,Food
2/11/2022,City Super,alerics mango 60ml,1,119,Grocery
2/11/2022,City Super,sams chicken burger 150g,1,319,Food
2/12/2022,Kolonne River Side Garden Hotel,Sea Food Rice,1,850,Food
